GEO.id,GEO.id2,GEO.display-label,rescen42010,resbase42010,respop72010,respop72011,respop72012,respop72013,respop72014,respop72015,respop72016,respop72017,respop72018
0400000US26,26,Michigan,9883640,9884117,9877535,9881521,9896930,9913349,9930589,9932573,9951890,9976447,9995915
0400000US27,27,Minnesota,5303925,5303925,5310843,5345668,5376550,5413693,5451522,5482503,5523409,5568155,5611179
0400000US28,28,Mississippi,2967297,2968118,2970536,2978470,2983767,2988797,2990623,2988693,2988298,2989663,2986530
0400000US29,29,Missouri,5988927,5988952,5995976,6009641,6024081,6040658,6056293,6071745,6087203,6108612,6126452
0400000US30,30,Montana,989415,989409,990722,997221,1003754,1013564,1021891,1030503,1040863,1053090,1062305
0400000US31,31,Nebraska,1826341,1826305,1829536,1840538,1853323,1865414,1879522,1891507,1905924,1917575,1929268
0400000US32,32,Nevada,2700551,2700679,2702464,2712799,2744566,2776972,2819012,2868666,2919772,2972405,3034392
0400000US33,33,New Hampshire,1316470,1316464,1316777,1319815,1323962,1326408,1333223,1336294,1342373,1349767,1356458
0400000US34,34,New Jersey,8791894,8791962,8799624,8827783,8845483,8858362,8866780,8870869,8874516,8888543,8908520
0400000US35,35,New Mexico,2059179,2059180,2064588,2080395,2087549,2092792,2090342,2090211,2092789,2093395,2095428
0400000US36,36,New York,19378102,19378124,19400080,19498514,19574549,19628043,19656330,19661411,19641589,19590719,19542209
0400000US37,37,North Carolina,9535483,9535736,9574293,9656754,9749123,9843599,9933944,10033079,10156679,10270800,10383620
0400000US38,38,North Dakota,672591,672576,674710,685136,701116,721999,737382,754022,754353,755176,760077
0400000US39,39,Ohio,11536504,11536757,11539327,11543463,11548369,11576576,11602973,11617850,11635003,11664129,11689442
0400000US40,40,Oklahoma,3751351,3751583,3759632,3787821,3818600,3853205,3878367,3909831,3926769,3932640,3943079
0400000US41,41,Oregon,3831074,3831075,3837532,3871728,3899118,3922908,3964106,4016918,4091404,4146592,4190713
0400000US42,42,Pennsylvania,12702379,12702873,12711158,12744583,12766827,12776621,12789101,12785759,12783538,12790447,12807060
0400000US44,44,Rhode Island,1052567,1052957,1053938,1053536,1054601,1055122,1056017,1056173,1057063,1056486,1057315
0400000US45,45,South Carolina,4625364,4625381,4635656,4671422,4717112,4764153,4823793,4892253,4958235,5021219,5084127
0400000US46,46,South Dakota,814180,814198,816165,823484,833496,842270,849088,853933,862890,873286,882235
0400000US47,47,Tennessee,6346105,6346286,6355301,6397410,6451281,6493432,6540826,6590808,6645011,6708794,6770010
0400000US48,48,Texas,25145561,25146114,25242679,25646227,26089620,26489464,26977142,27486814,27937492,28322717,28701845
0400000US49,49,Utah,2763885,2763891,2775334,2814216,2853467,2897927,2937399,2982497,3042613,3103118,3161105
0400000US50,50,Vermont,625741,625744,625880,626979,626063,626212,625218,625197,623644,624525,626299
0400000US51,51,Virginia,8001024,8001055,8023680,8100469,8185229,8253053,8312076,8362907,8410946,8465207,8517685
0400000US53,53,Washington,6724540,6724540,6742902,6821655,6892876,6962906,7052439,7163543,7294680,7425432,7535591
0400000US54,54,West Virginia,1852994,1853001,1854214,1856074,1856764,1853873,1849467,1841996,1830929,1817048,1805832
0400000US55,55,Wisconsin,5686986,5687282,5690479,5704755,5719855,5736952,5751974,5761406,5772958,5792051,5813568
0400000US56,56,Wyoming,563626,563773,564483,567224,576270,582123,582548,585668,584290,578934,577737
0400000US72,72,Puerto Rico,3725789,3726157,3721525,3678732,3634488,3593077,3534874,3473166,3406495,3325001,3195153
