DAM_NAME,NAT_ID,CNTY_NAME,EAP,Last EAP Update
Grand Ledge Dam,MI00110,Eaton,Not Required,
Webber Ranch Dam,MI00111,Iosco,Not Required,
Rodman Dam,MI00112,Iosco,Yes,10-Feb-09
Gribben Tailings Basin Dam,MI00113,Marquette,Yes,08-Jan-15
Greenwood Afterbay Dam,MI00114,Marquette,Yes,08-Jan-15
Doc and Tom Lake Level Control Structure,MI00115,Clare,Not Required,
Surrey Lake Dam,MI00116,Clare,Yes,07-Dec-17
Argentine Dam,MI00117,Genesee,Yes,02-Nov-17
Blanchard Pond Dam,MI00118,Isabella,Not Required,
Harris Dam,MI00119,Isabella,Not Required,
Russell Dam,MI00120,Gladwin,Not Required,
Brooklyn Dam,MI00121,Jackson,Yes,31-Dec-04
Michigan Center Dam,MI00122,Jackson,Yes,21-Sep-09
Concord Dam,MI00123,Jackson,Not Required,
Horton Dam,MI00124,Jackson,Yes,14-Jun-02
Leoni Dam,MI00125,Jackson,Not Required,
Liberty Dam,MI00126,Jackson,Yes,17-Dec-04
Minard Mill Dam,MI00127,Jackson,Not Required,
Norvell Dam,MI00128,Jackson,Not Required,
Ford Dam,MI00129,Baraga,Yes,27-Aug-12
Waterloo Dam,MI00130,Jackson,Not Required,
Net River Dam,MI00131,Baraga,Not Required,
Portage Creek Trout Pond Dam,MI00132,Jackson,Yes,
Spring Valley Park Dam,MI00133,Kalamazoo,Yes,10-Sep-07
Upper Hiawatha Dam,MI00134,Montmorency,Yes,
Bryant Mill Dam,MI00135,Kalamazoo,Yes,15-Jan-17
Lower Comstock Dam,MI00136,Kalamazoo,Not Required,
Middle Comstock Dam,MI00137,Kalamazoo,Not Required,
Baker Dam,MI00138,Gladwin,Not Required,
Cooks Mill Dam,MI00139,Kalamazoo,Not Required,
Fox And Bears Dam,MI00140,Kalamazoo,Not Required,
Howlandsburg Dam,MI00141,Kalamazoo,Yes,26-Jun-14
Rainy River Dam,MI00142,Montmorency,Not Required,
Twin Falls Dam,MI00143,Dickinson,Yes,
Sunset Lake Dam,MI00144,Kalamazoo,Yes,04-Nov-16
Monarch Paper Mill Dam,MI00145,Kalamazoo,Not Required,
Morrow Dam,MI00146,Kalamazoo,Yes,31-Oct-17
Grass Lake Level Control Structure,MI00147,Montmorency,Not Required,
Scotts Mill Dam,MI00148,Kalamazoo,Yes,31-Mar-06
Brook Lodge Dam,MI00149,Kalamazoo,Not Required,
Alcona Dam,MI00150,Alcona,Yes,12-Dec-17
Calkins Bridge Dam,MI00151,Allegan,Not Required,15-Dec-17
Au Train Dam,MI00152,Alger,Yes,31-Dec-16
Bond Falls Dam,MI00153,Ontonagon,Yes,26-Jan-18
Brandy Brook Dam,MI00154,Wexford,Not Required,
Brevoort Lake Dam,MI00155,Mackinac,Not Required,
Brule Island Dam,MI00156,Iron,Yes,
Buchanan Dam,MI00157,Berrien,Yes,01-Nov-17
Carp Intake Dam,MI00158,Marquette,Yes,01-Apr-08
Carp River (Deer Lake) Dam,MI00159,Marquette,Yes,08-Jan-15
Chalk Hill Dam,MI00160,Menominee,Yes,30-Dec-14
Cooke Dam,MI00161,Iosco,Yes,18-Dec-17
Croton Dam,MI00162,Newaygo,Yes,20-Nov-17
Escanaba (Cataract) Dam,MI00163,Marquette,Yes,28-Feb-11
Escanaba No 1 Dam,MI00164,Delta,Not Required,
Escanaba No 2 Dam,MI00165,Delta,Not Required,
Escanaba #3 Dam,MI00166,Delta,Yes,11-Jul-18
Escanaba #4 Dam,MI00167,Delta,Yes,11-Jul-18
Five Channels Dam,MI00168,Iosco,Yes,18-Dec-17
Foote Dam,MI00169,Iosco,Yes,18-Dec-17
Four Mile Dam,MI00170,Alpena,Yes,01-Nov-17
Hardy Dam,MI00171,Newaygo,Yes,01-Dec-17
Hemlock Falls Dam,MI00172,Iron,Yes,
Hillman Dam,MI00173,Montmorency,Yes,01-Nov-17
Hodenpyl Dam,MI00174,Manistee,Yes,15-Dec-17
Hoist Dam,MI00175,Marquette,Yes,15-Feb-17
Hubbard Lake Dam,MI00176,Alcona,Yes,01-Nov-17
Kingsford Dam,MI00177,Dickinson,Yes,
Loud Dam,MI00178,Iosco,Yes,18-Dec-17
Lower Paint Dam,MI00179,Iron,Yes,
Ludington Pumped Storage,MI00180,Mason,Yes,18-Dec-17
Upper Dam No 2,MI00181,Marquette,Yes,11-Nov-04
Lower Dam No 3,MI00182,Marquette,Not Required,
McClure Dam,MI00183,Marquette,Yes,26-Jan-18
Michigamme Falls Dam,MI00184,Iron,Yes,
Minnie Lake Dam,MI00185,Newaygo,Yes,13-Nov-13
Mio Dam,MI00186,Oscoda,Yes,12-Dec-17
Mottville Dam,MI00187,Saint Joseph,Yes,01-Nov-17
Ninth Street Dam,MI00188,Alpena,Yes,01-Nov-17
Norway Point Dam,MI00189,Alpena,Yes,01-Nov-17
Olga Lake Dam,MI00190,Lake,Not Required,
Peavy Falls Dam,MI00191,Iron,Yes,
Presque Isle Wildlife Dam,MI00192,Gogebic,Not Required,
Prickett Diversion Dam,MI00193,Baraga,Yes,26-Jan-18
Rawsonville Dam,MI00194,Washtenaw,Yes,01-Nov-17
Rogers Dam,MI00195,Mecosta,Yes,27-Nov-17
Saxon Falls Dam,MI00196,Gogebic,Yes,
Silver Lake Basin Dam,MI00197,Marquette,Yes,26-Jan-18
Sturgeon River Dam,MI00198,Dickinson,,
Sturgeon Falls Dam,MI00199,Dickinson,Yes,15-Jan-18
Tippy Dam,MI00200,Manistee,Yes,15-Dec-17
Lake Contos Dam,MI00201,Gladwin,Not Required,
Upper South Dam,MI00202,Alpena,Yes,01-Nov-17
Victoria Diversion Dam,MI00203,Ontonagon,Yes,26-Jan-18
Watervliet Dam,MI00204,Berrien,Not Required,
Way Dam,MI00205,Iron,Yes,
Webber Dam,MI00206,Ionia,Yes,29-Nov-17
White Rapids Dam,MI00207,Menominee,Yes,05-Feb-15
Heil Dam,MI00208,Gladwin,Not Required,
Barryton Dam,MI00209,Mecosta,Yes,24-Mar-18
