DAM_NAME,NAT_ID,CNTY_NAME,EAP,Last EAP Update
Mott Dam,MI00469,Genesee,Yes,28-Feb-17
Lake Templene Dam,MI00470,Saint Joseph,Yes,24-Jul-12
Lake Lancer Dam,MI00471,Gladwin,Yes,21-Sep-00
Monterey Lake Dam,MI00472,Allegan,Yes,10-Aug-14
West Shore Community College Dam,MI00473,Mason,Not Required,
Springwood #2 Dam,MI00474,Clare,Not Required,
Baumunk Dam,MI00475,Mecosta,Not Required,
Fishbeck Dam,MI00476,Washtenaw,Not Required,
Hiawatha Sportsman Club Dam,MI00477,Mackinac,Not Required,
Duffy Pond Dam,MI00478,Saint Clair,Not Required,
White Lake Dam,MI00479,Wexford,Not Required,
Pine Creek Dam,MI00480,Allegan,Yes,17-Dec-15
Tanny Armstrong Dam,MI00481,Chippewa,Not Required,
Waltman Lake Retreat and Learning Center Dam,MI00482,Montcalm,Not Required,
Gooseneck Creek Dam,MI00483,Houghton,Not Required,
Vitton Dam,MI00484,Houghton,Not Required,
Saline River Dam,MI00485,Washtenaw,Yes,20-Jan-00
B C Kiwanis Club Dam,MI00486,Calhoun,Not Required,
Greenwood Reservoir Dam,MI00487,Marquette,Yes,08-Jan-15
Lake Lancelot Dam,MI00488,Gladwin,Not Required,
Allegan City Dam,MI00489,Allegan,Yes,09-Jan-15
Plainwell Dam Number 2,MI00490,Allegan,Not Required,
Plainwell Dam #1,MI00491,Allegan,Yes,01-May-07
Dog Lake Dam,MI00492,Cheboygan,Not Required,
Armstrong No 2 Dam,MI00493,Chippewa,Not Required,
French Farm Lake Dam,MI00494,Emmet,Not Required,
Albion Dam,MI00495,Calhoun,Yes,15-Aug-05
Hamilton Dam,MI00496,Allegan,Not Required,
Ceresco Dam,MI00497,Calhoun,Not Required,
Belding Dam,MI00498,Ionia,Not Required,
Greenville Dam,MI00499,Montcalm,Yes,29-Apr-14
Peninsular Paper Dam,MI00500,Washtenaw,Yes,18-Feb-11
Ada Dam,MI00501,Kent,Yes,31-Oct-17
Cascade Dam,MI00502,Kent,Yes,31-Oct-17
LaBarge Dam,MI00503,Kent,Yes,15-Dec-17
Cross Dike Dam,MI00504,Allegan,Not Required,
White's Bridge Dam,MI00505,Ionia,Not Required,
Fallasburg Dam,MI00506,Kent,Yes,31-Oct-17
Thompsonville Dam,MI00507,Benzie,Not Required,
Grand Rapids West Side Dam,MI00508,Kent,Not Required,
Lyons Dam,MI00509,Ionia,Not Required,
Leland Dam,MI00510,Leelanau,Yes,
Union Street Dam,MI00511,Grand Traverse,Yes,18-Dec-12
Boardman Dam,MI00512,Grand Traverse,Yes,20-Dec-12
Sabin Dam,MI00513,Grand Traverse,Yes,20-Dec-12
Boyne Falls Dam,MI00514,Charlevoix,Yes,14-May-09
Boyne River Dam,MI00515,Charlevoix,Not Required,
Cedar River Dam,MI00516,Antrim,Yes,27-Jan-99
Elk Rapids Dam,MI00517,Antrim,Not Required,
Rugg Pond Dam,MI00518,Kalkaska,Yes,25-Nov-09
East Jordan Dam,MI00519,Charlevoix,Yes,31-Dec-06
Cheboygan Dam,MI00520,Cheboygan,Yes,01-Dec-17
Alverno Dam,MI00521,Cheboygan,Yes,
Menasha Dam,MI00522,Allegan,Yes,31-Dec-15
Groveland Dam #2A-1,MI00523,Dickinson,Not Required,
Beaverton Dam,MI00524,Gladwin,Yes,30-Aug-17
Chappel Dam,MI00525,Gladwin,Yes,06-Aug-03
White Cloud Dam,MI00526,Newaygo,Yes,24-Jan-07
Grass Lake Dam,MI00527,Benzie,Not Required,
Superior Falls Dam,MI00528,Gogebic,Not Required,
Brookside Cemetary Dam,MI00529,Mason,Not Required,
Crystal Falls Dam,MI00530,Iron,Not Required,
Park Mill (Upper Menominee River) Dam,MI00531,Menominee,Yes,04-Oct-17
Lower Menominee River Dam,MI00532,Menominee,Yes,18-Apr-12
Riley Dam,MI00533,Branch,Yes,23-Jan-17
Sturgis Dam,MI00534,Saint Joseph,Yes,31-Jul-17
Constantine Hydro Dam,MI00535,Saint Joseph,Yes,01-Nov-17
French Paper Company Dam,MI00536,Berrien,Not Required,
Niles Dam,MI00537,Berrien,Yes,30-Dec-17
Berrien Springs Dam,MI00538,Berrien,Yes,01-Nov-17
Smithville Dam,MI00539,Eaton,Yes,27-Dec-17
North Lansing Dam,MI00540,Ingham,Yes,01-Dec-14
Weippert Dam,MI00541,Ionia,Not Required,
Irving Hydro Dam,MI00542,Barry,Yes,
Middleville Dam,MI00543,Barry,Yes,
Brown Bridge Dam,MI00544,Grand Traverse,Not Required,
Tower Dam,MI00545,Cheboygan,Yes,
Kleber Dam,MI00546,Cheboygan,Not Required,
Secord Dam,MI00547,Gladwin,Yes,15-Dec-13
Smallwood Dam,MI00548,Gladwin,Yes,15-Dec-13
Edenville Dam,MI00549,Gladwin,Yes,15-Dec-13
Sanford Dam,MI00550,Midland,Yes,15-Dec-13
St Louis Municipal Dam,MI00551,Gratiot,Yes,
Centreville Dam,MI00552,Saint Joseph,Not Required,
Cambria Mill Pond Dam,MI00553,Hillsdale,Not Required,
Upper Constantine Dam,MI00554,Saint Joseph,Yes,29-Dec-14
Lost Nation Lake # 5 Dam,MI00555,Hillsdale,Yes,
Flat Rock Dam,MI00556,Wayne,Yes,09-Dec-15
French Landing Dam,MI00557,Wayne,Yes,31-Oct-17
Superior Dam,MI00558,Washtenaw,Yes,05-Dec-16
Argo Dam,MI00559,Washtenaw,Yes,13-Dec-16
Barton Dam,MI00560,Washtenaw,Yes,05-Dec-16
Geddes Dam,MI00561,Washtenaw,Yes,13-Dec-16
Big Creek Dam,MI00562,Crawford,Not Required,
Bucks Pond Dam,MI00563,Alcona,Not Required,
Upjohn Dam,MI00564,Kalamazoo,Not Required,
Gull Lake Dam,MI00565,Kalamazoo,Not Required,
Duvall Wildlife Dam,MI00566,Chippewa,Not Required,
Fletcher Creek Dam,MI00567,Chippewa,Not Required,
Republic Mine Tailings Pond Dam B,MI00568,Marquette,Not Required,
Youngs Dam,MI00569,Kalkaska,Not Required,
King Milling Company Dam,MI00570,Kent,Yes,07-Dec-11
Wabasis Lake Level Control Structure,MI00571,Kent,Not Required,
Rockford Dam,MI00572,Kent,Yes,10-Feb-16
Danaher Lake Dam,MI00573,Lake,Not Required,
Luther Pond Dam,MI00574,Lake,Yes,13-Jul-01
Republic Mine Tailings Pond Dam Tertiary,MI00575,Marquette,Not Required,
Minnawanna Dam,MI00576,Lapeer,Yes,18-Jan-12
Spain-Lindsey Dam,MI00577,Lapeer,Not Required,
Republic Mine Tailings Pond Dams,MI00578,Marquette,Not Required,
Republic Dam,MI00579,Marquette,Yes,01-Apr-08
Squier Dam,MI00580,Lapeer,Not Required,
Tau Beta Dam,MI00581,Lapeer,Not Required,
Lower Long Lake Dam,MI00582,Lapeer,Not Required,
Headquarters Lake Dam,MI00583,Grand Traverse,Not Required,
Belanger Dam,MI00584,Leelanau,Not Required,
Sand River Wildlife Flooding Dam,MI00585,Marquette,Not Required,
Cedar Lake Dam,MI00586,Leelanau,Yes,15-Mar-01
Cannon Creek Dam #1,MI00587,Missaukee,Not Required,
Atles Mill Dam,MI00588,Lenawee,Yes,16-Dec-09
Blissfield Dam,MI00589,Lenawee,Not Required,
Conners Marsh Dam,MI00590,Crawford,Not Required,
Springville Mill Dam,MI00591,Lenawee,Yes,31-Jan-17
Standish Dam,MI00592,Lenawee,Yes,
Tecumseh Dam,MI00593,Lenawee,Yes,15-Dec-03
Lake Adrian Dam,MI00594,Lenawee,Yes,31-Jan-17
Brighton Lake Dam,MI00595,Livingston,Yes,31-Jan-97
Manton Millpond Dam,MI00596,Wexford,Not Required,
Bullard Lake Dam,MI00597,Livingston,Not Required,
Nichwagh Lake Dam,MI00598,Livingston,Yes,31-Aug-15
General Motors Dam,MI00599,Livingston,Not Required,
Tyrone Dam,MI00600,Livingston,Not Required,
Salling Dam,MI00601,Crawford,Not Required,
HiLand Lake Dam,MI00602,Livingston,Yes,31-Aug-15
Parshallville Dam,MI00603,Livingston,Not Required,
Trowbridge Dam,MI00604,Allegan,Yes,08-Mar-12
Unadilla Mill Dam,MI00605,Livingston,Not Required,
Woodland Lake Dam,MI00606,Livingston,Yes,19-Nov-13
East Mill Lake Dam,MI00607,Macomb,Not Required,
Fisher Dam,MI00608,Macomb,Not Required,
Clifton Mill Pond Dam,MI00609,Macomb,Not Required,
Copemish Dam,MI00610,Manistee,Not Required,
Tilden Recirculation Basin,MI00611,Marquette,Yes,08-Jan-15
Schweitzer Dam,MI00612,Marquette,Yes,08-Jan-15
Muskegon Waste Water Lagoons,MI00613,Muskegon,Yes,08-Feb-16
Lake Neva Dam,MI00614,Oakland,Yes,30-Apr-04
Lake Sherwood Dam,MI00615,Oakland,Yes,31-Dec-01
Rainbow Lake Dam,MI00616,Gratiot,Yes,26-Oct-98
Lake Geneva Dam,MI00617,Clinton,Yes,15-Dec-16
Lake Victoria Dam,MI00618,Clinton,Not Required,
Otsego Dam,MI00619,Allegan,Yes,08-Mar-12
Lake Columbia Dam,MI00620,Jackson,Not Required,
Shannon Lake Dam,MI00621,Livingston,Not Required,
Shamrock Lake Dam,MI00622,Clare,Yes,16-Apr-12
Show Pool Dam,MI00623,Schoolcraft,Not Required,
Upper Goose Pen Dam,MI00624,Schoolcraft,Not Required,
Lower Goose Pen Dam,MI00625,Schoolcraft,Not Required,
A-1 Pool,MI00626,Schoolcraft,Not Required,
B-1 Pool Dam,MI00627,Schoolcraft,Not Required,
C-1 Pool Dam,MI00628,Schoolcraft,Not Required,
D-1 Pool,MI00629,Schoolcraft,Not Required,
E-1 Pool Dam,MI00630,Schoolcraft,Not Required,
F-1 Pool,MI00631,Schoolcraft,Not Required,
G-1 Pool,MI00632,Schoolcraft,Not Required,
H-1 Pool Dam,MI00633,Schoolcraft,Not Required,
I-1 Pool Dam,MI00634,Schoolcraft,Not Required,
A-2 Pool,MI00635,Schoolcraft,Not Required,
M-2 Pool Dam,MI00636,Schoolcraft,Not Required,
C-2 Pool,MI00637,Schoolcraft,Not Required,
T-2 Pool,MI00638,Schoolcraft,Not Required,
J-1 Pool Dam,MI00639,Schoolcraft,Not Required,
C-3 Pool,MI00640,Schoolcraft,Not Required,
Marsh Creek Pool,MI00641,Schoolcraft,Not Required,
Delta Creek Pool Dam,MI00642,Schoolcraft,Not Required,
Pool One A,MI00643,Saginaw,Not Required,
Pool One B Dam,MI00644,Saginaw,Not Required,
Pool Two,MI00645,Saginaw,Not Required,
Pool Three,MI00646,Saginaw,Not Required,
Pool Four Langshwager Tract,MI00647,Saginaw,Not Required,
Pool Five,MI00648,Saginaw,Not Required,
Jackson Hole Dam,MI00649,Kalamazoo,Not Required,
Compensating Works,MI00650,Chippewa,Not Required,
Thunder Hole Dam,MI00651,Clinton,Not Required,
Lake Of The Hills Dam,MI00652,Ingham,Not Required,
Burroughs Reservoir Dam,MI00653,Genesee,Not Required,
Mirror Lake Dam,MI00654,Jackson,Yes,17-Jun-03
Weidman Development Dam,MI00655,Isabella,Yes,05-Apr-04
Scottish Hills Lake Dam,MI00656,Gladwin,Not Required,
Ray C. Andres Dam,MI00657,Mecosta,Not Required,
Silver Spring Lake Dam,MI00658,Wayne,Not Required,
Lionel Wensley Dam,MI00659,Sanilac,Not Required,
Canterbury Lake Dam,MI00660,Barry,Not Required,
Charles Sargent Dam,MI00661,Washtenaw,Not Required,
Manitou Properties Dam 1,MI00662,Hillsdale,Not Required,
Manitou Properties Dam 2,MI00663,Hillsdale,Not Required,
Ranney Lake Dam,MI00664,Ionia,Not Required,
Westdale Family Dam,MI00665,Kent,Not Required,
Vanrick Industrial Park Dam,MI00666,Kalamazoo,Not Required,
Kitchin Dam,MI00667,Ontonagon,Not Required,
Foster Lake Dam,MI00668,Oceana,Yes,17-May-10
Whitehall Millpond Dam,MI00669,Muskegon,Not Required,
Sterling Mall Dam,MI00670,Macomb,Not Required,
Okie Kauffman Dam,MI00671,Oscoda,Not Required,
Robert Minerick Dam,MI00672,Iron,Not Required,
Homestake Copper Dam,MI00673,Houghton,Not Required,
Blamer Dam,MI00674,Oscoda,Not Required,
Sadilek Dam,MI00675,Gratiot,Not Required,
Denardo Dam,MI00676,Berrien,Not Required,
Blackledge Dam,MI00677,Osceola,Not Required,
Hesperia Dam,MI00678,Oceana,Yes,15-Jul-98
Addison Oaks Dam,MI00679,Oakland,Not Required,
Waterloo Dam,MI00680,Monroe,Yes,02-Jan-18
Twelve Oaks Mall Dam,MI00681,Oakland,Not Required,
Upper Trout Lake Dam,MI00682,Oakland,Not Required,
Lower Trout Lake Dam,MI00683,Oakland,Not Required,
Endicott Lake Dam,MI00684,Oakland,Yes,16-Jun-17
Lower Stony Lake Dam,MI00685,Macomb,Yes,31-Aug-17
Upper Stony Lake Dam,MI00686,Macomb,Yes,31-Aug-17
Indian Lake Dam,MI00687,Oakland,Not Required,
Prince Lake Dam,MI00688,Oakland,Not Required,
Pettibone Creek Dam #1,MI00689,Oakland,Not Required,
Pettibone Creek Dam No 2,MI00690,Oakland,Not Required,
Moore Lake Dam,MI00691,Oakland,Not Required,
Heron Dam,MI00692,Oakland,Yes,24-Sep-09
Davisburg Trout Pond Dam,MI00693,Oakland,Yes,
Braemar Lake Dam,MI00694,Oakland,Not Required,
Knoblock Lake Dam,MI00695,Oakland,Not Required,
Haven Hill Lake Dam,MI00696,Oakland,Not Required,
Lapeer State Game Area Flooding #30 Dam,MI00697,Lapeer,Not Required,
Duck Lake Dam,MI00698,Oakland,Not Required,
Indianwood Lake Dam,MI00699,Oakland,Not Required,
Charlevoix KMart Retention Basin Dam,MI00700,Charlevoix,Not Required,
Siebecker Dam,MI00701,Mecosta,Not Required,
White Pine Mine North Tailings Dam #1,MI00702,Ontonagon,Yes,26-Jan-00
Latter Creek Dam,MI00703,Iosco,Not Required,
North Branch Rush Creek Retention Basin Dam,MI00704,Ottawa,Yes,18-Jan-05
Upper Canadian Lakes Dam,MI00705,Mecosta,Not Required,
Lake Camelot Dam,MI00706,Isabella,Not Required,
Whitford Lake Dam,MI00707,Kalamazoo,Not Required,
Sparrow Dam,MI00708,Lenawee,Not Required,
Fry Lake Dam,MI00709,Lenawee,Not Required,
Addison Mill Pond Dam,MI00710,Lenawee,Yes,06-Nov-06
Pratt Dam,MI00711,Lenawee,Not Required,
Jonesville Millpond Dam,MI00712,Hillsdale,Not Required,
Milan Dam,MI00713,Monroe,Yes,15-Jul-03
Tyler Dam,MI00714,Washtenaw,Yes,21-Dec-15
Manchester Mill Dam,MI00715,Washtenaw,Yes,31-Oct-16
Hardwood Dam,MI00716,Dickinson,Yes,22-Jan-98
Sleepy Hollow Dam,MI00717,Clinton,Yes,31-Dec-08
Dawson Millpond Dam,MI00718,Oakland,Yes,14-Dec-16
Empire Mine Tailings Basin Dam,MI00719,Marquette,Yes,08-Jan-15
Empire Mine Secondary Pond Dam,MI00720,Marquette,Not Required,
Beaver Lake Dam,MI00721,Lapeer,Yes,15-Dec-09
Putney Dam,MI00722,Jackson,Not Required,
Lake Doster Dam,MI00723,Allegan,Yes,28-Feb-17
Eliza Pond Dam,MI00724,Keweenaw,Not Required,
Hoover Pond Dam,MI00725,Marquette,Not Required,
Crooked Lake Dam (Structure #4),MI00726,Allegan,Not Required,
Kenowa Lake Level Control Structure,MI00727,Ottawa,Not Required,
Briskey Pond Dam,MI00728,Hillsdale,Not Required,
Adamsville Hydroelectric Dam,MI00729,Cass,Yes,07-Jan-18
Dills Dam,MI00730,Eaton,Not Required,
Giesler Dam,MI00731,Eaton,Not Required,
Adamo Dam,MI00732,Chippewa,Not Required,
Portage Lake Dam,MI00733,Jackson,Not Required,
Spencer Dam,MI00734,Lenawee,Not Required,
Bridgeway Lake Dam,MI00735,Washtenaw,Yes,01-Nov-17
Green Oak Lake Dam,MI00736,Washtenaw,Yes,01-Nov-17
Van Etten Lake Dam,MI00737,Iosco,Not Required,
Glen Lake Dam,MI00738,Oscoda,Not Required,
Muskellunge Lake Level Control Struct,MI00739,Montmorency,Not Required,
Thompson's Pond Dam,MI00740,Osceola,Not Required,
Cleveland Lake Dam,MI00741,Muskegon,Yes,03-Jan-17
Norman Smith Dam,MI00742,Wexford,Not Required,
Pettysville Mill Dam,MI00743,Livingston,Yes,24-Sep-02
Caroga Lake Level Control Structure,MI00744,Livingston,Not Required,
Schumacher Dam #2,MI00745,Ogemaw,Not Required,
Kelly Lake Dam,MI00746,Ogemaw,Not Required,
Rau Lake Dam,MI00747,Ogemaw,Not Required,
Lake Margrethe Level Control Dam,MI00748,Crawford,Not Required,
Beaver Lake Flooding Dam,MI00749,Roscommon,Not Required,
Backus Lake Dam,MI00750,Roscommon,Not Required,16-Mar-09
Mason Wildlife Dam,MI00751,Ingham,Not Required,
Calumet Dam,MI00752,Houghton,Not Required,
Thompson Lake Dam,MI00753,Livingston,Yes,31-Aug-15
Oak Grove Millpond Dam,MI00754,Livingston,No,
Hosley Pond Dam,MI00755,Livingston,Not Required,
Moraine Lake Dam,MI00756,Livingston,Not Required,
Lower Chilson Pond Dam,MI00757,Livingston,Yes,12-Jul-11
Renchik Dam,MI00758,Oakland,Not Required,
Maybury Fish Pond Dam,MI00759,Wayne,Yes,01-Sep-07
Washago Pond Dam,MI00760,Wayne,Not Required,
Homestead Dam,MI00761,Benzie,Yes,26-Jul-06
Lake Dubonnet Dam,MI00762,Grand Traverse,Not Required,
Macon River Dam,MI00763,Monroe,Not Required,
Shavehead Lake Level Control Structure,MI00764,Cass,Not Required,
Hall Lake Dam,MI00765,Barry,Yes,22-May-17
Dude Estates Dam,MI00766,Saginaw,Not Required,
Fowle Mill Dam,MI00767,Hillsdale,Not Required,
Lake Street Dam And Flume,MI00768,Emmet,Not Required,
Old Mill Dam,MI00769,Dickinson,Not Required,
Priest Lake Level Control Structure,MI00770,Cass,Not Required,
Whiskey Creek Dam #2,MI00771,Mason,Not Required,
Molasses River Flooding #3 Dam,MI00772,Gladwin,Not Required,
Schinella Mottes Dam,MI00773,Dickinson,Not Required,
Hardacre Dam,MI00774,Roscommon,Not Required,
Stevenson Lake Dam,MI00775,Isabella,Not Required,
Crystal Lake Dam,MI00776,Oakland,Not Required,
Wolverine Lake Dam,MI00777,Oakland,Yes,17-Mar-09
J.R. Whiting Power Plant Dam,MI00778,Monroe,Not Required,
Palmer Bayou Dam,MI00779,Allegan,Not Required,
Klees Pond Dam,MI00780,Presque Isle,Not Required,
Trout Creek Dam,MI00781,Presque Isle,Not Required,
Groveland Dam #2,MI00782,Dickinson,Not Required,
Vhay Lake Dam,MI00783,Oakland,Not Required,
Potagannissing Dam,MI00784,Chippewa,Not Required,
Frayer Dam,MI00785,Gladwin,Not Required,
Babcocks Pond Dam,MI00786,Isabella,Not Required,
Schafer Dam,MI00787,Isabella,Not Required,
Thompson Dam,MI00788,Isabella,Not Required,
Taylor Dam,MI00789,Kalamazoo,Not Required,
Green Lake Dam,MI00790,Washtenaw,Not Required,
Maloy Lake Dam,MI00791,Osceola,Not Required,
Secluded Lake Dam,MI00792,Kent,Yes,30-Apr-09
Hunter Lake Level Control Structure,MI00793,Montcalm,Not Required,
Sessions Creek Dam,MI00794,Ionia,Yes,16-Jul-01
Lewis Drain Dam,MI00795,Genesee,Not Required,
Sunset Lake Dam,MI00796,Mecosta,Not Required,
Lake Laura Dam,MI00797,Mecosta,Not Required,
Merritt Lake Dam,MI00798,Lapeer,Yes,15-Jul-16
Eagle Lake Dam,MI00799,Kalamazoo,Not Required,
Thompson Dam,MI00800,Alcona,Not Required,
Jackson Prison Dam,MI00801,Jackson,Not Required,
Gregory State Game Area Dam #3,MI00802,Livingston,Not Required,
Gregory State Game Area #2 Dam,MI00803,Livingston,Not Required,
Lapeer State Game Area Flooding #27 Dam,MI00804,Lapeer,Not Required,
Calderwood Walleye Pond Dam,MI00805,Ontonagon,Not Required,
Long Lake Control Stucture,MI00806,Livingston,Not Required,
Mandeville Dam,MI00807,Ogemaw,Not Required,
Sunset Lake Level Control Structure,MI00808,Iron,Not Required,
Fortune Lake Level Control Structure,MI00809,Iron,Not Required,
Empire Mine Expanded Tertiary Dam,MI00810,Marquette,Yes,08-Jan-15
Port Huron SGA #4,MI00811,Saint Clair,Not Required,
Rush Creek Detention Basin Dam #2,MI00812,Ottawa,Yes,09-Oct-14
Wolf Lake Fish Hatchery Dams,MI00813,Van Buren,Not Required,
Omena Lake Level Control Structure,MI00814,Saint Joseph,Not Required,
Saari Dam,MI00815,Marquette,Not Required,
AuSable Lake Level Control Structure,MI00816,Ogemaw,Not Required,
Silver Lake Level Control Structure,MI00817,Oceana,Not Required,
Elmhirst Creek Dam,MI00818,Mackinac,Not Required,
Duck Lake Dam,MI00819,Oakland,Not Required,
Weidman Mill Pond Dam,MI00820,Isabella,Yes,08-Nov-07
Pratt Lake Level Control Structure,MI00821,Gladwin,Not Required,
Honey Creek Dam,MI00822,Kent,Not Required,
Falconcrest Industrial Park Detention,MI00823,Kent,Not Required,
Cross Creek Condos Detention Dam,MI00824,Kent,Not Required,
Towsley Farms Detention Dam,MI00825,Washtenaw,Not Required,
Little Quinnesec Falls Dam,MI00826,Dickinson,Yes,22-Dec-17
Baldwin Trout Hatchery Dam,MI00827,Lake,Not Required,
Cushman Creek Dam,MI00828,Oceana,Not Required,
Rifle Lake Dam,MI00829,Ogemaw,Not Required,
Kobasic Dam,MI00830,Delta,Not Required,
Cole Dam,MI00831,Lake,Not Required,
Simpson Dam,MI00832,Iosco,Not Required,
Sandhill Lake Dam,MI00833,Crawford,Not Required,
Pickerel Lake Dam,MI00834,Lenawee,Not Required,
Pond 4 Dam,MI00835,Ionia,Not Required,
Kubisiak Dam,MI00836,Iosco,Not Required,
O'Neal Dam,MI00837,Lenawee,Not Required,
ETB Waterway Dams,MI00838,Marquette,Not Required,
Ovid-Kinderhook WW Treatment Lagoons,MI00839,Branch,,
North Manistique Lake Dam,MI00840,Luce,Not Required,
Ogden Lake Dam,MI00841,Marquette,Yes,08-Jan-15
Red Dam Lake Dam,MI00842,Dickinson,Not Required,
Huron Dam,MI00843,Houghton,Not built,
Coleman Borrow Pit Walleye Pond,MI00844,Midland,Not Required,
Graber Dam,MI00845,Cass,Not Required,
Binda Dam,MI00846,Calhoun,Not Required,
Sprinkler Lake Dam,MI00847,Alcona,Not Required,
Plautz Dam,MI00848,Menominee,Not Required,
Friend Dam,MI00849,Leelanau,Not Required,
Susin Lake Dam,MI00850,Oakland,Not Required,
Rock River Beach Dam,MI00851,Alger,Not Required,
Davis Co Dam,MI00852,Allegan,Not Required,
Yacht Harbor Dam,MI00853,Allegan,Not Required,
Kerly's Wildwood Dam,MI00854,Antrim,Not Required,
Benchly Dam,MI00855,Arenac,Not Required,
Shanty Creek Golf Course Dam,MI00856,Antrim,Not Required,
Lake of the Woods Dam,MI00857,Antrim,Not Required,
E W Fisk Dam,MI00858,Van Buren,Not Required,
Arndt Dams (3 Dams),MI00859,Van Buren,Not Required,
Village Association Dam,MI00860,Van Buren,Not Required,
Vorick Dams (2 Dams),MI00861,Van Buren,Not Required,
Walter Moore Dam,MI00862,Oakland,Not Required,
Beneke Dam,MI00863,Manistee,Not Required,
Haines Dam,MI00864,Gladwin,Not Required,
Arthur Dodd Memorial Roadside Dam,MI00865,Cass,Not Required,
Cotton Lake Dam,MI00866,Calhoun,Not Required,
Jack Nicklaus Golf Course Pond Dam,MI00867,Grand Traverse,Not Required,
Kalkaska Millpond Dam,MI00868,Kalkaska,Not Required,
Mannino Dam,MI00869,Sanilac,Not Required,
Bulldog Lake Dam,MI00870,Marquette,Not Required,
Scotts Marsh Dike #1 Dam,MI00871,Schoolcraft,Not Required,
Scotts Marsh Dike #2 Dam,MI00872,Schoolcraft,Not Required,
Little Bass Lake Dam,MI00873,Schoolcraft,Not Required,
Spile Dam (North),MI00874,Chippewa,Not Required,
Muddy Grimes Dam,MI00875,Alger,Not Required,
Hollenbeck Dam,MI00876,Schoolcraft,Not Required,
Crestwood Manor Detention Dam,MI00877,Wayne,Not Required,
McDonalds Dam,MI00878,Chippewa,Not Required,
Rose Lake Dam,MI00879,Clinton,Not Required,
Rose Lake Flooding Dam,MI00880,Shiawassee,Not Required,
Louten Schlager Drain Dam,MI00881,Monroe,Not Required,
Roehl Dam,MI00882,Saint Clair,Not Required,
Folk Dam,MI00883,Menominee,Not Required,
Ocqueoc River Dam,MI00884,Presque Isle,Not Required,
York Creek Detention Dam,MI00885,Kent,Not Required,
Baw Beese Lake Dam,MI00886,Hillsdale,Not Required,
North Townline Creek Dam,MI00887,Roscommon,Not Required,
Midget Lake Dam,MI00888,Lake,Not Required,
Heron Marsh Dam,MI00890,Midland,Not Required,
Muskrat Marsh Dam,MI00891,Midland,Not Required,
Dragonfly Marsh Dam,MI00892,Midland,Not Required,
Lake Fenton Level Control Structure - Crane Road,MI00893,Genesee,Not Required,
Lake Fenton Level Control Structure - Swanee Beach,MI00894,Genesee,Not Required,
McMillan Dam,MI00895,Cass,Not Required,
Brady Lake Level Control Structure,MI00896,Mecosta,Not Required,
Otsego Lake Drain,MI00897,Otsego,Not Required,
Baldwins Lake Level Control Structure,MI00898,Cass,Not Required,
Indiana Lake Level Control Structure,MI00899,Cass,Not Required,
Sam Dix Dam,MI00900,Kent,Not Required,
Myers-Henderson Detention Pond,MI00901,Eaton,No,
West Crooked Lake Dam,MI00902,Livingston,Not Required,
Gunn Lake Outlet Control Structure,MI00903,Mason,Not Required,
Henson Dam,MI00904,Lapeer,Not Required,
Sand Lake Level Control Structure,MI00905,Newaygo,Not Required,
Coverdale Lake,MI00906,Cass,Not Required,
Long Lake,MI00907,Cass,Not Required,
Sanislow Dam,MI00908,Roscommon,Not Required,
Lilly Lake Level Control Structure,MI00909,Cass,Not Required,
Hutchens Lake Level Control Structure,MI00910,Cass,Not Required,
Bessemer WWTP Excess Flow Lagoons,MI00911,Gogebic,Not Required,
Clear Lake Level Control Structure,MI00912,Montmorency,Not Required,
Pipestone Lake Dam,MI00913,Berrien,Not Required,
Byram Lake Level Control Structure,MI00914,Genesee,Not Required,
Myers Lake Control Structure,MI00915,Genesee,Not Required,
Union Lake Level Control Structure,MI00916,Oakland,Not Required,
Walled and Shawood Lakes Dam,MI00917,Oakland,Not Required,
Watkins Lake Dam,MI00918,Oakland,Not Required,
Williams Lake Control Structure,MI00919,Oakland,Not Required,
Four Mile Lake Control Structure,MI00920,Washtenaw,Not Required,
Crooked Lake Level Control Structure,MI00921,Clare,Not Required,
Saddlebag Lake,MI00923,Cass,Not Required,
Fish Lake,MI00924,Cass,Not Required,
Swan Lake,MI00927,Montcalm,Not Required,
Pleasant Lake,MI00928,Cass,Not Required,
Silver Lake Level Control Structure,MI00929,Branch,Not Required,
Lee Lake Level Control Structure,MI00930,Calhoun,Not Required,07-Apr-03
Lyon Lake Level Control Structure,MI00931,Calhoun,Not Required,07-Apr-03
Garfield Lake Level Control Structure,MI00933,Calhoun,Not Required,07-Apr-03
Dean Lake Level Control Structure,MI00934,Kent,Not Required,
Ziegenfuss Lake Level Control Structure,MI00935,Kent,Not Required,
Silver Lake Level Control Structure,MI00936,Kent,Not Required,
Pine Lake Level Control Structure,MI00937,Kent,Not Required,
Myers Lake Level Control Structure,MI00938,Kent,Not Required,
Clear Lake Level Control Structure,MI00939,Saint Joseph,Not Required,
Long Lake Level Control Structure,MI00940,Saint Joseph,Not Required,
Horsehead Lake Dam,MI00941,Mecosta,Not Required,
Preserve of Dexter Dam,MI00943,Washtenaw,Not Required,
Willow Run Hydro Dam,MI00944,Washtenaw,Not Required,
Rushmore Lake Level Control Structure,MI00945,Ottawa,Not Required,
Crystal Springs Lake Level Control Structure,MI00946,Ottawa,Not Required,
Twin Lakes - South Lake Level Control Structure,Mi00949,Cass,Not Required,
